,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,,,,Afghanistan,2021-01-18 05:22:34,33.93911,67.709953,53984,2339,45868,5777.0,Afghanistan,138.67531626893629,4.332765263781861
1,,,,Albania,2021-01-18 05:22:34,41.1533,20.1683,67690,1277,40453,25960.0,Albania,2352.14399888804,1.8865415866449995
2,,,,Algeria,2021-01-18 05:22:34,28.0339,1.6596,103833,2836,70554,30443.0,Algeria,236.78570199573133,2.731308928760606
3,,,,Andorra,2021-01-18 05:22:34,42.5063,1.5218,9083,91,8154,838.0,Andorra,11755.64615285058,1.0018716283166356
4,,,,Angola,2021-01-18 05:22:34,-11.2027,17.8739,18875,436,16347,2092.0,Angola,57.42970269700229,2.309933774834437
5,,,,Antigua and Barbuda,2021-01-18 05:22:34,17.0608,-61.7964,189,6,156,27.0,Antigua and Barbuda,192.99893799526183,3.1746031746031744
6,,,,Argentina,2021-01-18 05:22:34,-38.4161,-63.6167,1799243,45407,1583465,170371.0,Argentina,3980.9980476715778,2.523672455582709
7,,,,Armenia,2021-01-18 05:22:34,40.0691,45.0382,164586,2992,152772,8822.0,Armenia,5554.269423204511,1.8178945961381887
8,,,Australian Capital Territory,Australia,2021-01-18 05:22:34,-35.4735,149.0124,118,3,115,0.0,"Australian Capital Territory, Australia",27.563653352020555,2.542372881355932
9,,,New South Wales,Australia,2021-01-18 05:22:34,-33.8688,151.2093,5074,54,3229,1791.0,"New South Wales, Australia",62.50307957625032,1.064249113125739
10,,,Northern Territory,Australia,2021-01-18 05:22:34,-12.4634,130.8456,93,0,84,9.0,"Northern Territory, Australia",37.866449511400646,0.0
11,,,Queensland,Australia,2021-01-18 05:22:34,-27.4698,153.0251,1294,6,1254,34.0,"Queensland, Australia",25.2956700224807,0.463678516228748
12,,,South Australia,Australia,2021-01-18 05:22:34,-34.9285,138.6007,593,4,578,11.0,"South Australia, Australia",33.76031881582693,0.6745362563237775
13,,,Tasmania,Australia,2021-01-18 05:22:34,-42.8821,147.3272,234,13,221,0.0,"Tasmania, Australia",43.69747899159664,5.555555555555555
14,,,Victoria,Australia,2021-01-18 05:22:34,-37.8136,144.9631,20428,820,19575,33.0,"Victoria, Australia",308.1192778171617,4.0140982964558445
15,,,Western Australia,Australia,2021-01-18 05:22:34,-31.9505,115.8605,887,9,865,13.0,"Western Australia, Australia",33.71854329810689,1.0146561443066515
16,,,,Austria,2021-01-18 05:22:34,47.5162,14.5501,393778,7082,369218,17478.0,Austria,4372.201989696216,1.7984752830274926
17,,,,Azerbaijan,2021-01-18 05:22:34,40.1431,47.5769,227273,3009,215268,8996.0,Azerbaijan,2241.533458096936,1.3239584112499063
18,,,,Bahamas,2021-01-18 05:22:34,25.025885,-78.035889,8032,175,6525,1332.0,Bahamas,2042.4770119619168,2.178784860557769
19,,,,Bahrain,2021-01-18 05:22:34,26.0275,50.55,97607,360,94297,2950.0,Bahrain,5736.24677726564,0.3688260063315131
20,,,,Bangladesh,2021-01-18 05:22:34,23.685,90.3563,527632,7906,472437,47289.0,Bangladesh,320.3800939614911,1.4983928192376506
21,,,,Barbados,2021-01-18 05:22:34,13.1939,-59.5432,1095,7,493,595.0,Barbados,381.0405364493982,0.639269406392694
22,,,,Belarus,2021-01-18 05:22:34,53.7098,27.9534,225461,1582,209208,14671.0,Belarus,2386.002126502,0.7016734601549713
23,,,Antwerp,Belgium,2021-01-18 05:22:34,51.2195,4.4024,84093,0,0,84093.0,"Antwerp, Belgium",4526.029797856389,0.0
24,,,Brussels,Belgium,2021-01-18 05:22:34,50.8503,4.3517,85239,0,0,85239.0,"Brussels, Belgium",7053.044081215217,0.0
